codigo,nombre,carrera,curso_nivel,horas_totales_programadas
ADM4-01,ADMINISTRACIÓN DE COOPERATIVAS Y SEGUROS,ADMINISTRACIÓN,4,
ADM4-02,ADMINISTRACIÓN DE LA PRODUCCIÓN Y OPERACIONES,ADMINISTRACIÓN,4,
ADM4-03,ADMINISTRACIÓN FINANCIERA,ADMINISTRACIÓN,4,
ADM4-04,ADMINISTRACIÓN PÚBLICA,ADMINISTRACIÓN,4,
ADM4-05,COMERCIO INTERNACIONAL,ADMINISTRACIÓN,4,
ADM4-06,INVESTIGACIÓN DE MERCADOS,ADMINISTRACIÓN,4,
ADM4-07,MARKETING,ADMINISTRACIÓN,4,
ADM4-08,PYMES Y EMPRESAS FAMILIARES,ADMINISTRACIÓN,4,
ADM4-09,SEMINARIO DE ADMINISTRACIÓN,ADMINISTRACIÓN,4,
ADM4-10,SISTEMA DE INFORMACIÓN GERENCIAL,ADMINISTRACIÓN,4,
ADM1-01,ADMINISTRACIÓN,ADMINISTRACIÓN,1,
ADM1-02,COMUNICACIÓN ORAL Y ESCRITA (ESPAÑOL),ADMINISTRACIÓN,1,
ADM1-03,COMUNICACIÓN ORAL Y ESCRITA (GUARANÍ),ADMINISTRACIÓN,1,
ADM1-04,CONTABILIDAD I,ADMINISTRACIÓN,1,
ADM1-05,IDIOMA EXTRANJERO (INGLÉS),ADMINISTRACIÓN,1,
ADM1-06,MATEMÁTICA I,ADMINISTRACIÓN,1,
ADM1-07,MICROECONOMÍA,ADMINISTRACIÓN,1,
ADM1-08,SOCIOLOGÍA,ADMINISTRACIÓN,1,
ADM5-01,ADMINISTRACIÓN ESTRATÉGICA,ADMINISTRACIÓN,5,
ADM5-02,ADMINISTRACIÓN HOTELERA,ADMINISTRACIÓN,5,
ADM5-03,AUDITORÍA DE LA GESTIÓN ADMINISTRATIVA,ADMINISTRACIÓN,5,
ADM5-04,DERECHO PRIVADO Y QUIEBRAS,ADMINISTRACIÓN,5,
ADM5-05,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN,ADMINISTRACIÓN,5,
ADM5-06,MERCADO DE CAPITALES Y DE DINERO,ADMINISTRACIÓN,5,
ADM5-07,"POLÍTICA, ESTRATEGIAS Y NEGOCIOS",ADMINISTRACIÓN,5,
ADM5-08,TRABAJO FINAL DE GRADO,ADMINISTRACIÓN,5,
ADM2-01,ADMINISTRACIÓN AGRÍCOLA Y GANADERA,ADMINISTRACIÓN,2,
ADM2-02,ADMINISTRACIÓN DE RECURSOS HUMANOS,ADMINISTRACIÓN,2,
ADM2-03,COMPORTAMIENTO DEL CONSUMIDOR,ADMINISTRACIÓN,2,
ADM2-04,CONTABILIDAD II,ADMINISTRACIÓN,2,
ADM2-05,LEGISLACIÓN LABORAL,ADMINISTRACIÓN,2,
ADM2-06,LOGÍSTICA,ADMINISTRACIÓN,2,
ADM2-07,MACROECONOMÍA,ADMINISTRACIÓN,2,
ADM2-08,MATEMÁTICA II,ADMINISTRACIÓN,2,
ADM2-09,METODOLOGÍA DE LA INVESTIGACIÓN,ADMINISTRACIÓN,2,
ADM2-10,ÉTICA,ADMINISTRACIÓN,2,
ADM3-01,CONTABILIDAD DE COSTOS,ADMINISTRACIÓN,3,
ADM3-02,EMPRENDEDURISMO,ADMINISTRACIÓN,3,
ADM3-03,ESTADÍSTICA PARA DECISIONES EMPRESARIALES,ADMINISTRACIÓN,3,
ADM3-04,GEOGRAFÍA ECONÓMICA,ADMINISTRACIÓN,3,
ADM3-05,LEGISLACIÓN COMERCIAL,ADMINISTRACIÓN,3,
ADM3-06,LEGISLACIÓN TRIBUTARIA,ADMINISTRACIÓN,3,
ADM3-07,"ORGANIZACIÓN, SISTEMAS Y MÉTODOS",ADMINISTRACIÓN,3,
ADM3-08,REALIDAD SOCIAL DEL PARAGUAY,ADMINISTRACIÓN,3,
ADM3-09,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN (TIC),ADMINISTRACIÓN,3,
CON4-01,ADMINISTRACIÓN DE RECURSOS HUMANOS,CONTABILIDAD,4,
CON4-02,ANÁLISIS DE ESTADOS CONTABLES,CONTABILIDAD,4,
CON4-03,AUDITORÍA I,CONTABILIDAD,4,
CON4-04,CONTABILIDAD DE GESTIÓN III,CONTABILIDAD,4,
CON4-05,CONTABILIDAD GUBERNAMENTAL,CONTABILIDAD,4,
CON4-06,DISEÑO DE SISTEMA DE INFORMACIÓN,CONTABILIDAD,4,
CON4-07,INFORMÁTICA APLICADA,CONTABILIDAD,4,
CON4-08,INGLÉS TÉCNICO,CONTABILIDAD,4,
CON4-09,TRIBUTACIÓN I,CONTABILIDAD,4,
CON1-01,COMUNICACIÓN ORAL Y ESCRITA (CASTELLANO - GUARANÍ),CONTABILIDAD,1,
CON1-02,CONTABILIDAD FINANCIERA I,CONTABILIDAD,1,
CON1-03,GABINETE,CONTABILIDAD,1,
CON1-04,MATEMÁTICA I,CONTABILIDAD,1,
CON1-05,MICROECONOMÍA,CONTABILIDAD,1,
CON1-06,SOCIOLOGÍA,CONTABILIDAD,1,
CON1-07,TEORÍA DE LA ADMINISTRACIÓN,CONTABILIDAD,1,
CON5-01,AUDITORÍA GUBERNAMENTAL,CONTABILIDAD,5,
CON5-02,AUDITORÍA II,CONTABILIDAD,5,
CON5-03,EJERCICIO PROFESIONAL,CONTABILIDAD,5,
CON5-04,MARKETING,CONTABILIDAD,5,
CON5-05,MERCADO DE CAPITALES,CONTABILIDAD,5,
CON5-06,TRABAJO FINAL DE GRADO,CONTABILIDAD,5,
CON5-07,TRIBUTACIÓN II,CONTABILIDAD,5,
CON5-08,ÉTICA,CONTABILIDAD,5,
CON2-01,CONTABILIDAD DE GESTIÓN I,CONTABILIDAD,2,
CON2-02,CONTABILIDAD FINANCIERA II,CONTABILIDAD,2,
CON2-03,DERECHO PRIVADO Y QUIEBRAS,CONTABILIDAD,2,
CON2-04,MACROECONOMÍA,CONTABILIDAD,2,
CON2-05,MATEMÁTICA II,CONTABILIDAD,2,
CON2-06,METODOLOGÍA DE LA INVESTIGACIÓN,CONTABILIDAD,2,
CON2-07,ORGANIZACIÓN Y ADMINISTRACIÓN DE EMPRESAS,CONTABILIDAD,2,
CON2-08,RELACIONES HUMANAS,CONTABILIDAD,2,
CON3-01,CONTABILIDAD DE GESTIÓN II,CONTABILIDAD,3,
CON3-02,CONTABILIDAD FINANCIERA III,CONTABILIDAD,3,
CON3-03,DERECHO DEL TRABAJO,CONTABILIDAD,3,
CON3-04,EMPRENDEDURISMO,CONTABILIDAD,3,
CON3-05,ESTADÍSTICA,CONTABILIDAD,3,
CON3-06,FINANZAS DE EMPRESAS,CONTABILIDAD,3,
CON3-07,RÉGIMEN LEGAL DE LAS EMPRESAS,CONTABILIDAD,3,
CON3-08,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN,CONTABILIDAD,3,
ECO4-01,CUENTAS NACIONALES,ECONOMÍA,4,
ECO4-02,DEMOGRAFÍA,ECONOMÍA,4,
ECO4-03,ECONOMETRÍA,ECONOMÍA,4,
ECO4-04,ECONOMÍA BANCARIA Y CREDITICIA,ECONOMÍA,4,
ECO4-05,ECONOMÍA LABORAL,ECONOMÍA,4,
ECO4-06,ECONOMÍA MONETARIA,ECONOMÍA,4,
ECO4-07,INGLÉS TÉCNICO,ECONOMÍA,4,
ECO4-08,POLÍTICA ECONÓMICA Y SOCIAL,ECONOMÍA,4,
ECO4-09,POLÍTICA FISCAL,ECONOMÍA,4,
ECO1-01,COMUNICACIÓN ORAL Y ESCRITA (CASTELLANO - GUARANÍ),ECONOMÍA,1,
ECO1-02,CONTABILIDAD,ECONOMÍA,1,
ECO1-03,DERECHO Y ECONOMÍA,ECONOMÍA,1,
ECO1-04,MATEMÁTICA I : ALGEBRA SUPERIOR,ECONOMÍA,1,
ECO1-05,SOCIOLOGÍA Y ÉTICA,ECONOMÍA,1,
ECO1-06,TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIÓN,ECONOMÍA,1,
ECO1-07,TEORÍA DE LA ADMINISTRACIÓN,ECONOMÍA,1,
ECO1-08,TEORÍA ECONÓMICA,ECONOMÍA,1,
ECO5-01,ANÁLISIS ECONÓMICO Y FINANCIERO,ECONOMÍA,5,
ECO5-02,CRECIMIENTO Y DESARROLLO ECONÓMICO,ECONOMÍA,5,
ECO5-03,ECONOMÍA AGROPECUARIA Y DE RECURSOS NATURALES,ECONOMÍA,5,
ECO5-04,ECONOMÍA DEL PARAGUAY,ECONOMÍA,5,
ECO5-05,ECONOMÍA INTERNACIONAL,ECONOMÍA,5,
ECO5-06,ECONOMÍA URBANA Y REGIONAL,ECONOMÍA,5,
ECO5-07,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,ECONOMÍA,5,
ECO5-08,PLANIFICACIÓN ECONÓMICA Y SOCIAL,ECONOMÍA,5,
ECO5-09,TRABAJO FINAL DE GRADO,ECONOMÍA,5,
